Category,Description
Document_Writing,"Conclude the public hearing and adopt the resolution concerning the Long Beach Tourism Business Improvement Area Assessment Levy for the period of October 1st, 2021 through September 30th, 2022. | Execute the 20th Amendment to the agreement with the Long Beach Area Convention and Visitors Bureau to extend the agreement by a period of one year."
Meeting_Planning,Plan for the tree lighting ceremony on November 30th.
Administrative_Communication,Send official communications and promotional materials regarding Long Beach tourism efforts to stakeholders and partners.
Document_Writing,Send the resources and a sketch to the Climate Action Committee of the City Council for the Youth Climate Corps program.
Meeting_Planning,Plan a discussion for the Climate Action Committee regarding the structure and recommendations for the Youth Climate Corps program.
Document_Writing,"Compile and distribute a report summarizing the findings from the 2020 census data, including demographic shifts and significant trends."
Meeting_Planning,Schedule a follow-up meeting to discuss the next steps for analyzing the census data and its implications for community outreach and support.
Administrative_Communication,Prepare and send communications to the community regarding the importance of accurate census reporting and efforts to improve participation in future censuses.
Document_Writing,Prepare a feasibility study on localizing Long Beach's mental health services.
Administrative_Communication,Engage with local stakeholders to identify resources needed for mental health service improvements.
Document_Writing,Prepare details on innovative pilot projects for local EV charging at all income levels and grid resiliency involving solar generation.
Meeting_Planning,Continue to monitor the California energy market and regulatory environment as they relate to community choice aggregation (CCA) and report back to City Council with any substantive developments.
Administrative_Communication,"Prepare a governance study that evaluates the options for community choice aggregation (CCA). | Bring back a report in a year regarding the health of other CCAs and the actions of the Public Utilities Commission (PUC), including adjustments to commodity prices and green energy ratios. | Develop clear annual signup goals for Southern California Edison's Green Rate Program based on a marketing strategy. | Identify the largest energy users from Southern California Edison to work on reducing energy usage in line with the Climate Action Plan (CAP). | Increase generation and use of renewable energy on city and institutional sites, including Long Beach City College and Long Beach Unified School District."
Document_Writing,Develop a strategic plan addressing homelessness.
